new_cases_smoothed_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,stringency_index,gdp_per_capita,human_development_index,diabetes_prevalence,life_expectancy,hospital_beds_per_thousand,temparature,rainfall,retail,grocery,transit,work,park,resident,median_age,Population_14,Population_65,Population_density,Mortality_rate_infant,Current health expenditure,Surface area,Unemployment,PM2.5,International migrant stock,houseshold_size,democracy,Asia,date2,location
380.49,1.911,10.64,75,18933.907,0.845,5.5,76.67,5,11.81111111,0.775555556,-3.351724138,36.05067568,-19.66037736,9.523148148,-36.98157895,2.223684211,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,38,Argentina
360.537,1.81,10.71,75,18933.907,0.845,5.5,76.67,5,14.32111111,0.432222222,-27.02258065,-0.732876712,-39.42727273,-40.67431193,-33.28092784,12.10169492,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,39,Argentina
352.79,1.827,10.99,75,18933.907,0.845,5.5,76.67,5,12.22808989,0.122222222,-8.688888889,34.86551724,-24.29906542,-4.973747017,-26.25692695,5.689781022,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,40,Argentina
352.32,1.831,11.01,75,18933.907,0.845,5.5,76.67,5,10.05909091,0.164444444,-23.78350515,1.842857143,-31.27751196,-11.97979798,-36.24317618,8.359832636,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,41,Argentina
345.153,1.858,11.05,75,18933.907,0.845,5.5,76.67,5,12.08,1.035555556,-10.57651246,23.14765101,-28.19339623,-0.002298851,-40.8315508,5.441077441,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,42,Argentina
340.245,1.849,11.13,75,18933.907,0.845,5.5,76.67,5,11.01777778,0.225555556,-10.54166667,24.29152542,-26.68899522,0.531034483,-41.16094987,5.15,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,43,Argentina
341.103,1.851,11.21,75,18933.907,0.845,5.5,76.67,5,9.894382022,2.22,-13.39160839,18.45033113,-27.6937799,0.229885057,-44.07754011,5.716666667,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,44,Argentina
334.96,1.826,11.29,75,18933.907,0.845,5.5,76.67,5,9.028089888,1.622222222,-10.3105802,23.01010101,-26.45833333,0.866666667,-39.13089005,5.337792642,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,45,Argentina
343.553,1.936,11.39,75,18933.907,0.845,5.5,76.67,5,8.154444444,0.081111111,-10.99346405,24.87086093,-24.80275229,1.151724138,-39.35917313,5.620805369,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,46,Argentina
345.648,1.936,11.6,75,18933.907,0.845,5.5,76.67,5,7.648314607,0.154444444,-12.76582278,24.07241379,-21.61502347,-1.887828162,-42.27318296,6.311355311,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,47,Argentina
339.65,1.943,11.75,75,18933.907,0.845,5.5,76.67,5,6.280681818,0.252222222,-24.49498328,5.33490566,-32.84057971,-12.25440806,-42.64089776,9.35021097,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,48,Argentina
332.68,1.92,11.84,75,18933.907,0.845,5.5,76.67,5,6.484444444,0.008888889,-5.542553191,25.02693603,-24.52606635,-2.390804598,-36.02425876,5.226351351,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,49,Argentina
317.187,1.872,12.02,75,18933.907,0.845,5.5,76.67,5,8.635555556,0.085555556,5.355871886,29.36054422,-19,-0.602298851,-25.632,1.254901961,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,50,Argentina
301.321,1.847,12.48,75,18933.907,0.845,5.5,76.67,5,9.326666667,0.003333333,-6.659863946,21.82450331,-22.94230769,-1.977011494,-29.73387097,3.511551155,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,51,Argentina
289.434,1.837,12.71,75,18933.907,0.845,5.5,76.67,5,11.54444444,0.017777778,-6.345762712,22.72818792,-24.57603687,-2.027586207,-30.744,4.754152824,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,52,Argentina
284.3,1.822,12.86,75,18933.907,0.845,5.5,76.67,5,12.89333333,0.008888889,-5.392857143,24.29801325,-22.51598174,-0.016091954,-28.35658915,4.573333333,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,53,Argentina
280.873,1.83,13.04,75,18933.907,0.845,5.5,76.67,5,11.78888889,0.193333333,-10.19242902,22.03472222,-21.83568075,-0.627403846,-37.10406091,4.952727273,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,54,Argentina
282.661,1.855,13.17,75,18933.907,0.845,5.5,76.67,5,11.54431818,1.951111111,-21.3537415,6.278301887,-30.2038835,-9.872773537,-39.51371571,8.292887029,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,55,Argentina
282.007,1.897,13.21,75,18933.907,0.845,5.5,76.67,5,9.108888889,0.847777778,-9.805555556,19.05333333,-25.14018692,5.062211982,-39.20540541,5.030405405,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,56,Argentina
287.269,1.913,13.45,75,18933.907,0.845,5.5,76.67,5,6.63,0.955555556,-11.77083333,16.67676768,-25.56038647,5.071428571,-44.18567639,5.408026756,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,57,Argentina
291.188,1.916,13.93,75,18933.907,0.845,5.5,76.67,5,5.608888889,0.234444444,-11.35153584,16.68333333,-26.69014085,4.935483871,-42.10427807,5.199335548,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,58,Argentina
293.114,1.885,14.32,75,18933.907,0.845,5.5,76.67,5,5.837777778,0.001111111,-10.80612245,18.11705686,-26.37037037,6.542725173,-38.94722955,5.155629139,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,59,Argentina
286.414,1.913,14.73,75,18933.907,0.845,5.5,76.67,5,7.626666667,0.063333333,-9.160771704,22.6192053,-23.97695853,8.755760369,-38.66410256,5.156146179,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,60,Argentina
283.971,1.917,15.16,75,18933.907,0.845,5.5,76.67,5,8.14,0.055555556,-6.851265823,27.61245675,-19.70892019,2.255421687,-33.06015038,4.981818182,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,61,Argentina
279.513,1.896,15.47,75,18933.907,0.845,5.5,76.67,5,8.789772727,0.057777778,-16.65217391,12.12676056,-25.75,-6.494871795,-28.05764411,7.242677824,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,62,Argentina
275.215,1.896,15.69,75,18933.907,0.845,5.5,76.67,5,9.715555556,0.066666667,-6.856140351,25.97643098,-22.67142857,15.08665105,-35.60916442,3.07641196,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,63,Argentina
269.242,1.942,16.13,75,18933.907,0.845,5.5,76.67,5,10.12444444,0,-4.84083045,28.58703072,-21.36492891,15.18372093,-33.67819149,2.534653465,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,64,Argentina
262.517,1.975,16.86,75,18933.907,0.845,5.5,76.67,5,10.62777778,0.056666667,-7.058219178,24.52666667,-20.76811594,15.61948956,-32.37735849,2.347540984,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,65,Argentina
261.486,2.03,17.39,75,18933.907,0.845,5.5,76.67,5,11.93333333,0.004444444,-5.846416382,28.27852349,-22.44131455,15.28703704,-36.81216931,2.786885246,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,66,Argentina
261.693,2.062,17.94,75,18933.907,0.845,5.5,76.67,5,13.28,0.115555556,-1.236245955,32.52159468,-18.81651376,17.30697674,-30.51679587,2.065359477,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,67,Argentina
259.961,2.048,18.42,75.93,18933.907,0.845,5.5,76.67,5,13.89888889,0.12,0.876971609,32.49134948,-14.44549763,4.900726392,-22.11734694,2.474820144,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,68,Argentina
260.142,2.052,18.74,75.93,18933.907,0.845,5.5,76.67,5,12.00804598,4.56,-26.91864407,4.28708134,-36.72,-10.33164557,-48.125,9.953389831,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,69,Argentina
257,2.023,19.13,75.93,18933.907,0.845,5.5,76.67,5,8.787777778,2.791111111,-9.342657343,23.70805369,-25.33014354,15.47775176,-43.80434783,4.157190635,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,70,Argentina
249.364,1.977,19.63,75.93,18933.907,0.845,5.5,76.67,5,6.842222222,0.348888889,-2.826388889,30.20748299,-18.64251208,17.99766355,-36.77718833,2.569078947,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,71,Argentina
242.037,1.971,NA,75.93,18933.907,0.845,5.5,76.67,5,7.036666667,0.051111111,-2.236111111,29.89297659,-17.27272727,18.84345794,-32.48266667,1.947540984,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,72,Argentina
240.731,1.949,20.5,75.93,18933.907,0.845,5.5,76.67,5,8.002222222,0.26,-3.643835616,27.58108108,-19.08490566,18.38837209,-34.35695538,2.407166124,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,73,Argentina
224.827,1.908,20.95,75.93,18933.907,0.845,5.5,76.67,5,8.206666667,0.141111111,-0.28802589,32.33774834,-15.09677419,20.29302326,-32.19896641,1.905228758,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,74,Argentina
0.748,2.99,5.38,53.24,44648.71,0.944,5.07,83.44,3.84,13.20124224,2.053846154,-0.620535714,11.41025641,-32.65088757,2.746621622,-23.55172414,5.507614213,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,25,Australia
0.931,3.118,5.62,68.06,44648.71,0.944,5.07,83.44,3.84,12.59443299,1.084682081,1.790178571,11.73480663,-36.56962025,-7.127118644,-9.262672811,4.785185185,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,26,Australia
0.958,3.247,5.73,71.76,44648.71,0.944,5.07,83.44,3.84,12.63888889,0.993063584,-8.870813397,4.733333333,-45.76129032,-15.33039648,-16.3255814,6.370689655,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,27,Australia
1.075,3.544,5.73,71.76,44648.71,0.944,5.07,83.44,3.84,12.94502075,0.955277778,-9.580952381,7.893258427,-42.35465116,-10.38590604,-17.99470899,8.883248731,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,28,Australia
1.23,3.856,6,68.06,44648.71,0.944,5.07,83.44,3.84,13.79416667,1.031955923,-13.9627907,5.523560209,-49.3372093,-15.73913043,-27.72774869,10.61881188,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,29,Australia
1.324,4.158,6.33,68.06,44648.71,0.944,5.07,83.44,3.84,14.63747412,1.650413223,-18.5,0.335051546,-52.47674419,-19.3812709,-26.86910995,10.32673267,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,30,Australia
1.44,4.495,6.69,68.06,44648.71,0.944,5.07,83.44,3.84,14.56570248,3.794707521,-15.5437788,4.446808511,-51.67647059,-17.12374582,-17.82258065,12.4079602,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,31,Australia
1.534,4.7,7.01,68.06,44648.71,0.944,5.07,83.44,3.84,13.46157025,2.867335244,-13.4380531,7.557291667,-50.44767442,-13.47986577,-21.88442211,12.58031088,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,32,Australia
1.407,4.906,7.2,68.06,44648.71,0.944,5.07,83.44,3.84,12.20824742,1.436046512,-7.119469027,8.033149171,-46.55625,-12.76150628,-13.28440367,8.179104478,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,33,Australia
1.529,5.111,7.28,68.06,44648.71,0.944,5.07,83.44,3.84,11.83838174,1.797435897,-10.04285714,2.374233129,-49.90322581,-17.89823009,-17.24074074,7.310344828,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,34,Australia
1.501,5.203,7.54,68.06,44648.71,0.944,5.07,83.44,3.84,11.54782609,0.558855586,-6.857142857,8.675977654,-45.59537572,-14.1442953,-15.07446809,9.56122449,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,35,Australia
1.435,5.075,7.85,68.06,44648.71,0.944,5.07,83.44,3.84,11.67463918,1.442032967,-5.059633028,8.363157895,-45.45348837,-15.14381271,-17.10106383,9.467980296,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,36,Australia
1.44,4.781,8.14,68.06,44648.71,0.944,5.07,83.44,3.84,12.01584362,0.429863014,-3.239631336,9.473958333,-43.92397661,-15.27852349,-11.70810811,9.177339901,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,37,Australia
1.479,4.39,8.46,68.06,44648.71,0.944,5.07,83.44,3.84,12.46164948,2.118309859,-3.45,8.529100529,-42.87058824,-15.22147651,-4.548913043,8.863414634,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,38,Australia
1.557,4.184,8.74,68.06,44648.71,0.944,5.07,83.44,3.84,12.53504098,2.171594203,-5.426666667,10.77202073,-44.5380117,-12.86531987,-25.4,10.04591837,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,39,Australia
1.922,3.979,8.93,68.06,44648.71,0.944,5.07,83.44,3.84,12.57360825,0.633333333,-5.451327434,5.254143646,-44.13207547,-12.17154812,-14.68224299,7.649253731,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,40,Australia
2.31,3.773,9.02,68.06,44648.71,0.944,5.07,83.44,3.84,13.07807377,1.012138728,-7.603864734,3.024242424,-46.64473684,-16.13392857,-13.85576923,6.67826087,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,41,Australia
2.725,3.815,9.31,68.06,44648.71,0.944,5.07,83.44,3.84,13.96536885,1.838333333,-9.339712919,6.552486188,-41.81764706,-6.781144781,-23.16753927,8.604060914,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,42,Australia
3.147,3.871,9.65,68.06,44648.71,0.944,5.07,83.44,3.84,14.58973306,1.664640884,-8.387096774,7.605263158,-41.04117647,-7.35016835,-22.15789474,8.308823529,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,43,Australia
3.379,4.033,10,68.06,44648.71,0.944,5.07,83.44,3.84,15.06880165,2.79076087,-6.640186916,8.184615385,-41.19186047,-7.208053691,-29.29381443,8.906403941,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,44,Australia
3.739,4.187,10.35,68.06,44648.71,0.944,5.07,83.44,3.84,15.5756701,3.338591549,-4.444444444,9.255319149,-39.50292398,-7.291946309,-14.57837838,8.092682927,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,45,Australia
4.188,4.517,10.68,68.06,44648.71,0.944,5.07,83.44,3.84,14.12386831,3.638040346,-14.64573991,8.273195876,-48.65116279,-11.19594595,-29.07425743,12.76020408,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,46,Australia
4.426,4.847,10.86,68.06,44648.71,0.944,5.07,83.44,3.84,13.04547325,1.794752187,-15.80357143,5.736263736,-53.51875,-16.3,-27,12.04511278,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,47,Australia
4.404,5.177,10.97,68.06,44648.71,0.944,5.07,83.44,3.84,12.70041152,0.414029851,-17.84466019,0.388888889,-54.48366013,-21.15315315,-13.51173709,10.78448276,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,48,Australia
4.415,5.239,11.27,68.06,44648.71,0.944,5.07,83.44,3.84,13.07654321,2.264917127,-17.42439024,5.720670391,-47.41860465,-8.237288136,-26.14210526,11.47738693,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,49,Australia
4.637,5.581,11.61,68.06,44648.71,0.944,5.07,83.44,3.84,12.43319588,3.382633053,-20.13551402,6.781914894,-50.27428571,-11.97635135,-37.68556701,13.1840796,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,50,Australia
5.058,5.788,11.98,68.06,44648.71,0.944,5.07,83.44,3.84,11.84353183,0.818435754,-23.31481481,3.167539267,-51.76470588,-16.38255034,-27.80927835,14.62686567,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,51,Australia
5.296,6.07,12.34,68.06,44648.71,0.944,5.07,83.44,3.84,12.40780287,1.567127072,-22.66359447,1.128342246,-51.04705882,-16.39057239,-19.02139037,14.45771144,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,52,Australia
5.44,6.193,12.69,68.06,44648.71,0.944,5.07,83.44,3.84,13.35626283,1.731232092,-21.53363229,5.635416667,-52.56395349,-14.30847458,-28.89162562,15.43523316,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,53,Australia
5.645,6.317,12.9,68.06,44648.71,0.944,5.07,83.44,3.84,13.30246914,3.776261128,-23.01801802,0.889502762,-55.87820513,-21.5308642,-20.36320755,13.42748092,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,54,Australia
5.905,6.441,13.03,68.06,44648.71,0.944,5.07,83.44,3.84,12.97837838,1.482507289,-25.57692308,-3.231707317,-59.01986755,-24.57894737,-24.66972477,12.22413793,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,55,Australia
6.348,6.564,13.36,68.06,44648.71,0.944,5.07,83.44,3.84,14.58690229,2.104748603,-24.12980769,1.213114754,-51.66470588,-13.00680272,-26.125,13.68367347,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,56,Australia
6.686,6.616,13.75,68.06,44648.71,0.944,5.07,83.44,3.84,15.73975155,1.149152542,-22.19158879,2.877005348,-51.96491228,-14.86486486,-26.19587629,13.985,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,57,Australia
7.202,6.667,14.18,68.06,44648.71,0.944,5.07,83.44,3.84,14.76466942,2.263585434,-9.136150235,7.809278351,-44.95930233,-5.708053691,-25.66666667,10.50246305,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,58,Australia
7.351,6.719,14.59,68.06,44648.71,0.944,5.07,83.44,3.84,14.17587629,1.008571429,-8.977272727,7.893617021,-44.02941176,-5.141414141,-12.11956522,10.05853659,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,59,Australia
7.628,6.686,14.99,68.06,44648.71,0.944,5.07,83.44,3.84,14.84403292,1.002046784,-6.424107143,9.651282051,-43.61309524,-1.601351351,-16.46428571,9.85786802,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,60,Australia
8.116,6.653,15.23,68.06,44648.71,0.944,5.07,83.44,3.84,15.4884058,3.923529412,-4.424107143,8.049450549,-48.625,-10.80084746,-11.06511628,9.015037594,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,61,Australia
8.476,6.621,15.37,68.06,44648.71,0.944,5.07,83.44,3.84,13.93506224,0.756056338,-9.909090909,2.061349693,-52.1192053,-17.20179372,-11.62380952,8.818965517,37.9,19.29242502,16.21305807,3.339440225,3.1,9.28459835,7741220,6.61,8.550324401,28.21840969,2.55,0.787,0,62,Australia
